fema_declaration_string,disaster_number,state,declaration_type,declaration_date,fy_declared,incident_type,declaration_title,incident_begin_date,incident_end_date,disaster_closeout_date,place_code,designated_area,Latitude,Longitude
DR-91-IN,91,IN,DR,1959-01-29T05:00:00Z,1959,Flood,Flood,1959-01-29T05:00:00Z,1959-01-29T05:00:00Z,1960-11-01T05:00:00Z,99021,Clay (County),33.6856157,-98.2123296
DR-183-CA,183,CA,DR,1964-12-24T05:00:00Z,1965,Flood,Heavy Rains & Flooding,1964-12-24T05:00:00Z,1964-12-24T05:00:00Z,1976-04-05T05:00:00Z,99007,Butte (County),39.6519275,-121.5858444
DR-183-CA,183,CA,DR,1964-12-24T05:00:00Z,1965,Flood,Heavy Rains & Flooding,1964-12-24T05:00:00Z,1964-12-24T05:00:00Z,1976-04-05T05:00:00Z,99015,Del Norte (County),41.7261767,-123.91328
DR-183-CA,183,CA,DR,1964-12-24T05:00:00Z,1965,Flood,Heavy Rains & Flooding,1964-12-24T05:00:00Z,1964-12-24T05:00:00Z,1976-04-05T05:00:00Z,99003,Alpine (County),38.5893934,-119.8345013
DR-183-CA,183,CA,DR,1964-12-24T05:00:00Z,1965,Flood,Heavy Rains & Flooding,1964-12-24T05:00:00Z,1964-12-24T05:00:00Z,1976-04-05T05:00:00Z,99011,Colusa (County),39.1465578,-122.2209563
DR-183-CA,183,CA,DR,1964-12-24T05:00:00Z,1965,Flood,Heavy Rains & Flooding,1964-12-24T05:00:00Z,1964-12-24T05:00:00Z,1976-04-05T05:00:00Z,99005,Amador (County),6.244637,-75.5661066
DR-183-CA,183,CA,DR,1964-12-24T05:00:00Z,1965,Flood,Heavy Rains & Flooding,1964-12-24T05:00:00Z,1964-12-24T05:00:00Z,1976-04-05T05:00:00Z,99023,Humboldt (County),40.5997415,-123.8997734
DR-183-CA,183,CA,DR,1964-12-24T05:00:00Z,1965,Flood,Heavy Rains & Flooding,1964-12-24T05:00:00Z,1964-12-24T05:00:00Z,1976-04-05T05:00:00Z,99033,Lake (County),39.0505411,-122.7776556
DR-183-CA,183,CA,DR,1964-12-24T05:00:00Z,1965,Flood,Heavy Rains & Flooding,1964-12-24T05:00:00Z,1964-12-24T05:00:00Z,1976-04-05T05:00:00Z,99035,Lassen (County),40.7685579,-120.730998
DR-183-CA,183,CA,DR,1964-12-24T05:00:00Z,1965,Flood,Heavy Rains & Flooding,1964-12-24T05:00:00Z,1964-12-24T05:00:00Z,1976-04-05T05:00:00Z,99041,Marin (County),38.0409144,-122.6199638
DR-183-CA,183,CA,DR,1964-12-24T05:00:00Z,1965,Flood,Heavy Rains & Flooding,1964-12-24T05:00:00Z,1964-12-24T05:00:00Z,1976-04-05T05:00:00Z,99021,Glenn (County),39.5912766,-122.3778662
DR-183-CA,183,CA,DR,1964-12-24T05:00:00Z,1965,Flood,Heavy Rains & Flooding,1964-12-24T05:00:00Z,1964-12-24T05:00:00Z,1976-04-05T05:00:00Z,99017,El Dorado (County),3.70850715,-73.83968195608466
DR-183-CA,183,CA,DR,1964-12-24T05:00:00Z,1965,Flood,Heavy Rains & Flooding,1964-12-24T05:00:00Z,1964-12-24T05:00:00Z,1976-04-05T05:00:00Z,99055,Napa (County),38.4898675,-122.3218414
DR-183-CA,183,CA,DR,1964-12-24T05:00:00Z,1965,Flood,Heavy Rains & Flooding,1964-12-24T05:00:00Z,1964-12-24T05:00:00Z,1976-04-05T05:00:00Z,99057,Nevada (County),39.3540335,-120.8089843
